author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
ID 85604823;unknown;https://www.cian.ru/sale/flat/308497818/;Москва;sale;flat;16;41;2;51.0;34000000;2023;-1;-1;-1;-1;21 м²;17 м²;+79647714670;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
MOD Estate;real_estate_agent;https://www.cian.ru/sale/flat/305379573/;Москва;sale;flat;4;4;2;36.7;25000000;1893;-1;-1;-1;-1;18 м²;8 м²;+79645641377;Басманный;Хохловский переулок;3С1;Китай-город;
ANT Development;developer;https://www.cian.ru/sale/flat/303519421/;Москва;sale;flat;2;10;2;59.8;71281684;2024;-1;Монолитный;-1;Чистовая;-1;-1;+74951346248;Дорогомилово;;3к8;Поклонная;Виктори Парк Резиденсез ЖК
Светлана Анисимова;realtor;https://www.cian.ru/sale/flat/308703083/;Москва;sale;flat;21;31;2;55.7;21990000;2020;-1;-1;-1;-1;27,2 м²;10,6 м²;+79163814853;Богородское;Тюменский проезд;3к1;Бульвар Рокоссовского;Преображение
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/305111360/;Москва;sale;flat;4;16;2;37.0;19000000;1977;-1;-1;-1;-1;20 м²;10 м²;+79652435417;Пресненский;Красногвардейский бульвар;5К2;Москва-Сити;
Главстрой;developer;https://www.cian.ru/sale/flat/306076580/;Москва;sale;flat;4;22;2;67.1;28625560;2024;-1;Монолитно-кирпичный;-1;Без отделки;21,5 м²;22,3 м²;+74951379308;Филевский парк;Береговой проезд;2;Фили;Береговой-2
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/272003903/;Москва;sale;flat;5;6;2;43.0;26900000;2016;-1;-1;-1;-1;-1;-1;+79197672046;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
ID 98396578;homeowner;https://www.cian.ru/sale/flat/308733860/;Москва;sale;flat;1;9;2;45.0;17800000;1966;-1;-1;-1;-1;30 м²;9 м²;+79151430800;Красносельский;Протопоповский переулок;38;Площадь трёх вокзалов;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/308080996/;Москва;sale;flat;2;6;2;71.56;131670400;2024;-1;Монолитно-кирпичный;-1;Без отделки;26 м²;23,5 м²;+74951387122;Замоскворечье;Космодамианская набережная;4/22С8;Новокузнецкая;Клубный дом Космо 4/22
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/301258691/;Москва;sale;flat;2;21;2;57.23;59000000;2023;-1;-1;-1;-1;-1;7 м²;+79660544755;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
Зульфия  Галяутдинова;realtor;https://www.cian.ru/sale/flat/308225788/;Москва;sale;flat;13;14;2;61.0;29000000;1965;-1;-1;-1;-1;38 м²;10,5 м²;+79067203877;Гагаринский;Университетский проспект;6К2;Воробьёвы горы;
Sminex;developer;https://www.cian.ru/sale/flat/293713880/;Москва;sale;flat;2;14;2;85.6;175450000;2024;-1;Монолитный;-1;Без отделки;34,6 м²;15,5 м²;+74951375467;Якиманка;;;Боровицкая;Лаврушинский ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/298050405/;Москва;sale;flat;7;9;2;108.3;154000000;2023;-1;-1;-1;-1;-1;10 м²;+79660640315;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
Залму Писарук;realtor;https://www.cian.ru/sale/flat/308532820/;Москва;sale;flat;7;12;2;55.0;13400000;1974;-1;-1;-1;-1;31 м²;9 м²;+79645651875;Бирюлево Восточное;Лебедянская ;4;;
TOUCH;developer;https://www.cian.ru/sale/flat/302838489/;Москва;sale;flat;8;13;2;64.0;37645480;2024;-1;Монолитный;-1;Без отделки, чистовая;-1;-1;+74951387101;Южнопортовый;;к3;Дубровка;Шампайн ЖК
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679729/;Москва;sale;flat;9;20;2;59.0;25370000;2024;-1;-1;-1;-1;24,1 м²;20,1 м²;+79652908569;Даниловский;;;Тульская;Форст ЖК
ID 73038306;real_estate_agent;https://www.cian.ru/sale/flat/308737761/;Москва;sale;flat;6;12;2;44.8;19490000;1973;-1;-1;-1;-1;27 м²;6 м²;+79154890653;Марьина роща;1-й Стрелецкий проезд;3;Марьина Роща;
Sminex;developer;https://www.cian.ru/sale/flat/308620442/;Москва;sale;flat;3;26;2;61.54;31220000;2024;-1;Монолитный;-1;Без отделки;25 м²;18,5 м²;+74951347316;Марфино; Академика Королева;21;Бутырская;Дом Достижение
